エクスポート日時(UTC),エクスポート日時(JST),リポジトリ名,フルネーム,説明,ステータス,活動種別,最終活動からの日数,スター数,フォーク数,ウォッチャー数,未解決Issue数,サイズ,使用言語,ライセンス,トピック,アーカイブ状態,公開状態,デフォルトブランチ,Issues有効,Wiki有効,Projects有効,ホームページ,作成日,最終更新日,最終Push日,Issue最終更新日,最新リリース,URL
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,expressBookReviews,KenichiroArai/expressBookReviews,nodejsFinalModule,更新が少ない,Push,363,0,0,0,0,45 KB,JavaScript,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-11-13,2024-11-16,2024-11-16,なし,リリースなし,https://github.com/KenichiroArai/expressBookReviews
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,nodejs_PracticeProject_AuthUserMgmt,KenichiroArai/nodejs_PracticeProject_AuthUserMgmt,nodejs_PracticeProject_AuthUserMgmt,停滞中,Push,366,0,0,0,0,12 KB,JavaScript,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-11-13,2024-11-13,2024-11-13,なし,リリースなし,https://github.com/KenichiroArai/nodejs_PracticeProject_AuthUserMgmt
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,lkpho-Cloud-applications-with-Node.js-and-React,KenichiroArai/lkpho-Cloud-applications-with-Node.js-and-React,説明なし,停滞中,Push,368,0,0,0,0,12 MB,JavaScript,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,master,いいえ,はい,はい,なし,2024-11-09,2024-11-11,2024-11-11,なし,リリースなし,https://github.com/KenichiroArai/lkpho-Cloud-applications-with-Node.js-and-React
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,mxpfu-nodejsLabs,KenichiroArai/mxpfu-nodejsLabs,nodejsLabs,停滞中,Push,368,0,0,0,0,27 KB,JavaScript,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-11-11,2024-11-11,2024-11-11,なし,リリースなし,https://github.com/KenichiroArai/mxpfu-nodejsLabs
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,e-plantShopping,KenichiroArai/e-plantShopping,e-plantShopping,停滞中,Push,371,0,0,0,0,206 KB,JavaScript,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-11-02,2024-11-07,2024-11-07,なし,リリースなし,https://github.com/KenichiroArai/e-plantShopping
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,conference_event_planner,KenichiroArai/conference_event_planner,conference_event_planner,停滞中,Push,377,0,0,0,0,358 KB,JavaScript,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-11-01,2024-11-02,2024-11-02,なし,リリースなし,https://github.com/KenichiroArai/conference_event_planner
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,learning_react,KenichiroArai/learning_react,説明なし,停滞中,Push,378,0,0,0,0,95 KB,JavaScript,ライセンスなし,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2024-10-31,2024-10-31,2024-10-31,なし,リリースなし,https://github.com/KenichiroArai/learning_react
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,ecommerce_rtk,KenichiroArai/ecommerce_rtk,ecommerce_rtk,停滞中,Push,379,0,0,0,0,56 KB,JavaScript,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-10-31,2024-10-31,2024-10-31,なし,リリースなし,https://github.com/KenichiroArai/ecommerce_rtk
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,feedback_form,KenichiroArai/feedback_form,feedback_form,停滞中,Push,380,0,0,0,0,47 KB,JavaScript,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-10-30,2024-10-30,2024-10-30,なし,リリースなし,https://github.com/KenichiroArai/feedback_form
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,custom_hook,KenichiroArai/custom_hook,custom_hook,停滞中,Push,382,0,0,0,0,50 KB,JavaScript,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-10-28,2024-10-28,2024-10-28,なし,リリースなし,https://github.com/KenichiroArai/custom_hook
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,todo_list,KenichiroArai/todo_list,todo_list,停滞中,Push,383,0,0,0,0,9 KB,JavaScript,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-10-27,2024-10-27,2024-10-27,なし,リリースなし,https://github.com/KenichiroArai/todo_list
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,event_planner,KenichiroArai/event_planner,event_planner,停滞中,Push,383,0,0,0,0,49 KB,JavaScript,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-10-27,2024-10-27,2024-10-27,なし,リリースなし,https://github.com/KenichiroArai/event_planner
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,content_rating,KenichiroArai/content_rating,content_rating,停滞中,Push,384,0,0,0,0,53 KB,JavaScript,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,main,いいえ,はい,はい,なし,2024-10-25,2024-10-25,2024-10-25,なし,リリースなし,https://github.com/KenichiroArai/content_rating
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,devops-capstone-project,KenichiroArai/devops-capstone-project,説明なし,停滞中,Issue更新,408,0,0,0,0,58 KB,Python,Apache License 2.0,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2024-09-27,2024-10-01,2024-10-01,2024-10-01,リリースなし,https://github.com/KenichiroArai/devops-capstone-project
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,Coursera,KenichiroArai/Coursera,説明なし,停滞中,Push,457,0,0,0,0,1 MB,Jupyter Notebook,ライセンスなし,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2024-05-26,2024-08-14,2024-08-14,2024-08-13,リリースなし,https://github.com/KenichiroArai/Coursera
